designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 6083698824064946560",6083698824064946560,201.71409318940616,-47.49135462111315,,,,,14.663069,1.1051645,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064962816",6083698824064962816,201.71467126475724,-47.48717913871637,,,,,15.326148,0.564044,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064962944",6083698824064962944,201.71477568150758,-47.48760649061773,,,,,15.24304,0.87093353,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064965632",6083698824064965632,201.71702129233998,-47.488527660925016,,,,,16.884563,0.9292574,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064977536",6083698824064977536,201.7185260800412,-47.48738664913126,,,,,16.536789,1.0106983,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067542528",6083698824067542528,201.70378831544343,-47.49624067430147,0.04633673262498886,-2.3088134719002817,-6.143777950594872,9.068625,14.850771,1.1910267,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698824067560320",6083698824067560320,201.70609864953502,-47.49590548315662,,,,,15.69213,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067562368",6083698824067562368,201.70623024628955,-47.49541183922628,,,,,15.525429,1.0452919,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067563264",6083698824067563264,201.70389387787324,-47.49327139436963,,,,,14.749988,0.5173693,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067589504",6083698824067589504,201.70801245139089,-47.49120781186565,0.6451779438479373,-3.089216692467617,-8.045932760574445,3.589761,15.21325,1.0811996,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698824067614080",6083698824067614080,201.71186415068797,-47.48873355122664,,,,,15.396702,1.1209421,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067619072",6083698824067619072,201.71354139491348,-47.490031071653455,,,,,14.806528,0.57470894,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067621376",6083698824067621376,201.71483378721484,-47.489995572159685,,,,,16.208805,1.0486708,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067634560",6083698824067634560,201.71706921230037,-47.487945886500746,,,,,15.675097,1.0258598,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067637376",6083698824067637376,201.71530230031135,-47.486361583444314,,,,,15.900742,1.0092945,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067638656",6083698824067638656,201.71634462383702,-47.486952506017936,,,,,14.687261,0.5709162,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067639936",6083698824067639936,201.71602856648502,-47.48651773103637,0.06102313235150089,-4.292520702307783,-8.358278597685306,3.0654655,15.39712,0.7944155,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698824067647744",6083698824067647744,201.71917470570918,-47.48643194900144,,,,,15.627252,1.0527086,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067657600",6083698824067657600,201.71948312269768,-47.483660794798716,,,,,16.346264,1.0320978,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824067666944",6083698824067666944,201.72043121026184,-47.48144676685901,,,,,15.114704,0.6302662,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824068401024",6083698824068401024,201.70872160945464,-47.4945511280622,,,,,15.972507,1.0241728,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824068402688",6083698824068402688,201.70797970709594,-47.49211361432998,-1.6431864328789427,-4.21489204957156,-8.651644008680215,2.4007652,16.176348,1.1002617,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698824068402816",6083698824068402816,201.70743718091865,-47.492280620215155,,,,,16.479498,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824068403968",6083698824068403968,201.70991470195955,-47.49408254444798,,,,,15.839319,1.0326576,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824068411648",6083698824068411648,201.71085419130162,-47.490506728003524,,,,,14.758958,0.87563896,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824068411776",6083698824068411776,201.71110635686338,-47.491009997216054,,,,,16.538694,0.9643736,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824068411904",6083698824068411904,201.71098388981753,-47.49010579520001,,,,,15.701286,0.7267523,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824068626816",6083698824068626816,201.71318539599775,-47.48803083487496,,,,,15.54649,2.9673252,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824069035904",6083698824069035904,201.70818350498752,-47.495547760043934,0.4721761042746003,-2.4896900780081372,-6.709331456909657,3.334545,14.576626,1.1440096,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698824069036544",6083698824069036544,201.70780544194787,-47.49488507039202,,,,,16.45153,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824069830784",6083698824069830784,201.71070192742073,-47.491486304157405,,,,,16.814228,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824069832192",6083698824069832192,201.71524691983907,-47.489641786890836,,,,,16.618887,0.982749,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824088024320",6083698824088024320,201.7159708531042,-47.4856152863371,,,,,15.695463,1.030159,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824088027136",6083698824088027136,201.71741573433863,-47.48477471915771,,,,,14.664386,1.0770378,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824088032384",6083698824088032384,201.71941130421888,-47.48225339808487,0.16267607960331185,-2.9422848617038992,-6.812958612608851,1.066659,11.334497,1.6189423,211.70662,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5140.5576,2.2752,-0.4595,2086.4084,1.517,1.1653,0.6266
"Gaia DR3 6083698824088223232",6083698824088223232,201.7093946065297,-47.49254634436834,0.8305509465085149,-2.519020289797746,-5.765550493456521,5.62865,12.5248,1.402852,230.85437,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,5889.0083,2.8007,-0.8744,2049.9387,1.5688,1.2605,0.6906
"Gaia DR3 6083698824088231040",6083698824088231040,201.7186559649101,-47.485088078972765,-0.27213757314675013,-2.3480166458987597,-7.8851037667425015,1.7170305,11.605815,1.5194216,227.80869,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698824088563840",6083698824088563840,201.70748227620524,-47.49114571921083,,,,,15.884166,1.1445341,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824088568448",6083698824088568448,201.71249939454682,-47.48730416666116,,,,,16.5478,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824088575488",6083698824088575488,201.72071952951646,-47.480664507547615,0.564212396249149,-4.40911263450678,-7.8176183440055595,2.5220354,14.947413,1.0868587,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698824088743296",6083698824088743296,201.71656171627583,-47.490418638269226,,,,,14.865971,1.2305279,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824088747392",6083698824088747392,201.70570992380394,-47.496875997933785,,,,,15.164358,0.7745447,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824088907136",6083698824088907136,201.71017481310545,-47.49255026351553,,,,,16.367165,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824096831872",6083698824096831872,201.70730092090585,-47.49072175056327,,,,,16.484688,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824096854144",6083698824096854144,201.70790912889169,-47.488905440309544,,,,,15.879083,1.0233612,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824096879616",6083698824096879616,201.71915928890675,-47.48462632374755,,,,,16.582508,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824096880640",6083698824096880640,201.71637333437874,-47.48786296642004,,,,,16.303148,0.86621094,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824096913920",6083698824096913920,201.71857718231652,-47.48177201427844,,,,,16.6287,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824097301632",6083698824097301632,201.70701255434903,-47.49626508256791,,,,,16.158344,1.0562487,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824097301760",6083698824097301760,201.70778598669287,-47.49683300284703,,,,,15.831815,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824097303808",6083698824097303808,201.704504477029,-47.4947817382845,,,,,17.196169,0.91276646,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824097304064",6083698824097304064,201.70737092826514,-47.494258407833016,,,,,16.12249,0.98989296,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824097309952",6083698824097309952,201.71642995032022,-47.48988996564596,,,,,16.247028,0.8581085,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824097310208",6083698824097310208,201.7119910287817,-47.4931134444851,,,,,16.502077,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824097310464",6083698824097310464,201.71438680323163,-47.49147432457118,,,,,15.416883,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824097895808",6083698824097895808,201.7048827082129,-47.496080718463155,,,,,16.87713,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824098045696",6083698824098045696,201.71267855429903,-47.490583641953435,,,,,15.966058,1.0075397,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
